Date,Close
2025-07-20,405.83
2025-07-21,412.0
2025-07-22,416.42
2025-07-23,410.62
2025-07-24,404.97
2025-07-27,400.35
2025-07-28,393.42
2025-07-29,400.89
2025-07-30,390.2
2025-07-31,386.43
2025-08-03,381.91
2025-08-04,395.76
2025-08-05,386.2
2025-08-06,385.51
2025-08-07,384.68
2025-08-12,376.92
2025-08-13,370.48
2025-08-14,365.66
2025-08-17,348.64
2025-08-18,348.23
2025-08-19,350.65
2025-08-20,351.12
2025-08-21,348.38
2025-08-24,343.56
2025-08-25,344.34
2025-08-26,344.53
2025-08-27,351.44
2025-08-28,351.32
2025-08-31,346.46
2025-09-01,350.02
